TRAMO,PR,LATITUD,LONGITUD,DISTANCIA
20HL01,9,1.88812851,-76.29038947,8873
45HLB,0,2.19357593,-75.64038306,0
45HLB,1,2.2012412,-75.63752816,1023
45HLB,2,2.20695504,-75.63152081,2028
45HLB,3,2.20982278,-75.62347273,3028
45HLC,0,1.8468556,-76.06755846,0
45HLC,1,1.85096999,-76.06058173,978
45HLC,2,1.85681535,-76.05455247,1982
45HLC,3,1.86289066,-76.04808183,2983
45HLC,4,1.86613874,-76.04047396,3978
45HLC,5,1.8650902,-76.0323486,4918
